x,y,event
12.0,8.0,Hit
58.0,76.0,Shot
176.0,37.0,Missed Shot
180.0,42.0,Shot
190.0,29.0,Takeaway
170.0,43.0,Shot
132.0,64.0,Shot
34.0,37.0,Shot
66.0,25.0,Missed Shot
89.0,15.0,Shot
22.0,49.0,Blocked Shot
71.0,11.0,Giveaway
65.0,51.0,Shot
18.0,79.0,Hit
30.0,64.0,Faceoff
3.0,22.0,Hit
195.0,24.0,Giveaway
157.0,7.0,Giveaway
40.0,4.0,Takeaway
30.0,20.0,Faceoff
30.0,20.0,Faceoff
18.0,24.0,Giveaway
36.0,27.0,Shot
99.0,42.0,Faceoff
30.0,20.0,Faceoff
35.0,47.0,Missed Shot
22.0,81.0,Hit
23.0,51.0,Blocked Shot
22.0,58.0,Goal
99.0,42.0,Faceoff
134.0,3.0,Hit
161.0,14.0,Shot
168.0,20.0,Faceoff
129.0,2.0,Hit
27.0,10.0,Shot
72.0,3.0,Hit
65.0,10.0,Shot
30.0,20.0,Faceoff
35.0,31.0,Takeaway
128.0,32.0,Shot
119.0,20.0,Faceoff
152.0,30.0,Blocked Shot
70.0,76.0,Giveaway
30.0,20.0,Faceoff
62.0,8.0,Giveaway
62.0,26.0,Missed Shot
24.0,59.0,Takeaway
34.0,82.0,Hit
32.0,83.0,Giveaway
55.0,51.0,Missed Shot
35.0,45.0,Missed Shot
32.0,44.0,Shot
153.0,17.0,Shot
144.0,81.0,Giveaway
79.0,64.0,Faceoff
129.0,19.0,Penalty
168.0,64.0,Faceoff
183.0,30.0,Missed Shot
50.0,33.0,Penalty
168.0,20.0,Faceoff
153.0,42.0,Blocked Shot
164.0,50.0,Blocked Shot
132.0,44.0,Shot
168.0,64.0,Faceoff
177.0,23.0,Missed Shot
176.0,52.0,Blocked Shot
119.0,20.0,Faceoff
17.0,79.0,Hit
193.0,69.0,Hit
195.0,65.0,Hit
180.0,64.0,Shot
130.0,7.0,Giveaway
108.0,77.0,Giveaway
33.0,82.0,Hit
195.0,36.0,Hit
165.0,59.0,Shot
168.0,64.0,Faceoff
95.0,22.0,Penalty
168.0,20.0,Faceoff
187.0,76.0,Hit
168.0,64.0,Faceoff
171.0,65.0,Shot
168.0,64.0,Faceoff
79.0,64.0,Faceoff
156.0,44.0,Shot
162.0,57.0,Shot
168.0,64.0,Faceoff
148.0,77.0,Shot
30.0,20.0,Faceoff
7.0,13.0,Hit
65.0,24.0,Missed Shot
72.0,65.0,Giveaway
130.0,68.0,Giveaway
134.0,49.0,Blocked Shot
128.0,79.0,Takeaway
30.0,64.0,Faceoff
19.0,39.0,Blocked Shot
27.0,43.0,Shot
28.0,34.0,Blocked Shot
136.0,81.0,Hit
168.0,64.0,Faceoff
177.0,2.0,Giveaway
173.0,36.0,Shot
151.0,53.0,Blocked Shot
21.0,7.0,Takeaway
71.0,57.0,Giveaway
169.0,29.0,Missed Shot
119.0,64.0,Faceoff
118.0,81.0,Hit
147.0,81.0,Penalty
30.0,20.0,Faceoff
30.0,23.0,Shot
14.0,39.0,Shot
30.0,20.0,Faceoff
66.0,3.0,Giveaway
72.0,72.0,Takeaway
163.0,15.0,Giveaway
149.0,23.0,Missed Shot
131.0,35.0,Missed Shot
168.0,20.0,Faceoff
2.0,65.0,Hit
168.0,64.0,Faceoff
166.0,34.0,Shot
99.0,42.0,Faceoff
150.0,77.0,Giveaway
159.0,28.0,Shot
140.0,47.0,Missed Shot
190.0,37.0,Missed Shot
119.0,20.0,Faceoff
2.0,28.0,Hit
32.0,5.0,Shot
44.0,66.0,Missed Shot
30.0,20.0,Faceoff
2.0,21.0,Hit
138.0,73.0,Penalty
174.0,43.0,Penalty
165.0,62.0,Penalty
174.0,42.0,Penalty
168.0,47.0,Penalty
168.0,20.0,Faceoff
129.0,17.0,Shot
164.0,68.0,Shot
175.0,43.0,Shot
168.0,64.0,Faceoff
169.0,45.0,Missed Shot
155.0,52.0,Shot
164.0,76.0,Takeaway
160.0,42.0,Penalty
30.0,64.0,Faceoff
13.0,39.0,Goal
99.0,42.0,Faceoff
166.0,42.0,Shot
168.0,20.0,Faceoff
168.0,64.0,Faceoff
55.0,8.0,Missed Shot
113.0,81.0,Hit
11.0,57.0,Missed Shot
127.0,79.0,Hit
193.0,19.0,Hit
14.0,77.0,Hit
137.0,8.0,Hit
134.0,56.0,Missed Shot
191.0,11.0,Shot
168.0,20.0,Faceoff
84.0,70.0,Shot
105.0,77.0,Hit
144.0,6.0,Hit
79.0,64.0,Faceoff
170.0,36.0,Shot
