x,y,group
19,41,A
146,5,A
128,4,A
47,23,A
18,43,A
30,64,A
19,23,A
30,20,A
38,22,A
63,40,A
149,66,A
165,58,A
168,20,A
181,28,A
181,48,A
1,46,A
144,81,A
190,48,A
171,30,A
168,20,A
24,46,A
171,21,A
168,20,A
61,64,A
102,5,A
25,79,A
14,51,A
186,53,A
32,35,A
17,49,A
35,77,A
185,22,A
39,40,A
169,36,A
168,20,A
138,6,A
3,38,A
159,13,A
195,26,A
161,59,A
38,43,A
177,53,A
193,72,A
173,49,A
19,80,A
67,21,A
193,29,A
72,38,A
195,58,A
186,69,A
183,32,A
168,20,A
190,25,A
179,30,A
174,49,A
174,34,A
133,49,A
134,68,A
165,82,A
153,65,A
179,37,A
182,43,A
168,64,A
182,36,A
169,6,A
172,56,A
192,19,A
144,79,A
168,59,A
179,44,A
99,42,A
165,5,A
166,5,A
182,79,A
135,21,A
71,81,A
27,26,A
35,52,A
23,51,A
27,82,A
4,54,A
31,35,A
131,7,A
99,42,A
65,14,A
117,4,A
93,10,A
174,58,A
4,21,A
30,64,A
23,49,A
12,38,A
173,6,A
170,81,A
8,20,A
168,64,A
149,67,A
134,39,A
146,80,A
168,64,A
30,20,A
151,80,A
28,81,A
177,52,A
168,64,A
29,41,A
30,20,A
31,12,A
30,20,A
18,57,A
28,5,A
31,27,A
17,56,A
30,64,A
68,3,A
33,71,A
7,55,A
14,76,A
34,67,A
145,81,A
179,46,A
168,64,A
23,47,A
30,64,A
28,35,A
175,52,A
192,31,A
137,46,A
186,33,A
191,25,A
184,39,A
155,25,A
18,78,A
18,53,A
34,57,A
67,76,A
176,33,A
168,58,A
168,64,A
152,59,A
159,6,A
190,26,A
160,43,A
149,46,A
155,44,A
161,41,A
168,64,A
174,30,A
179,52,A
168,64,A
146,84,A
156,33,A
146,63,A
168,64,A
151,63,A
170,32,A
139,75,A
195,34,A
54,10,A
107,81,A
30,20,A
57,43,A
34,62,A
19,40,A
16,41,A
99,42,A
46,62,A
30,64,A
158,38,A
191,35,A
21,59,A
160,81,A
28,82,A
168,64,A
54,81,A
168,64,A
150,21,A
99,42,A
61,62,A
48,23,A
42,7,A
78,5,A
197,41,A
184,65,A
184,20,A
136,6,A
167,56,A
168,64,A
48,32,A
30,20,A
99,42,A
157,80,A
179,55,A
192,62,A
27,80,A
186,22,A
1,38,A
26,76,A
43,78,A
61,9,A
177,48,A
145,11,A
172,32,A
15,78,A
17,43,A
30,20,A
73,81,A
25,46,A
22,30,A
43,30,A
30,20,A
30,20,A
44,31,A
30,20,A
17,35,A
27,41,A
30,64,A
170,79,A
183,27,A
168,20,A
153,60,A
165,27,A
155,17,A
74,3,A
63,3,A
3,29,A
163,79,A
7,65,A
30,20,A
31,65,A
30,64,A
22,36,A
63,50,A
99,42,A
99,42,A
196,32,A
172,30,A
188,48,A
168,64,A
192,64,A
23,33,A
27,52,A
175,35,A
85,82,A
132,43,A
148,47,A
197,44,A
156,31,A
168,20,A
135,6,A
168,20,A
122,43,A
66,42,A
99,42,A
82,46,A
64,43,A
30,64,A
5,24,A
27,34,A
62,19,A
152,5,A
99,42,A
197,38,A
36,44,A
15,37,A
178,43,A
168,20,A
168,64,A
176,24,A
16,57,A
188,73,A
179,41,A
119,20,A
168,56,A
46,45,A
15,56,A
175,43,A
27,44,A
167,42,A
22,43,A
174,48,A
26,43,A
172,43,A
25,42,A
173,45,A
28,43,A
99,42,A
154,62,A
