x,y,group
196.0,56.0,A
176.0,62.0,A
140.0,5.0,A
17.0,45.0,A
168.0,20.0,A
181.0,80.0,A
135.0,67.0,A
166.0,81.0,A
133.0,75.0,A
15.0,16.0,A
171.0,79.0,A
195.0,52.0,A
99.0,42.0,A
3.0,58.0,A
43.0,49.0,A
20.0,38.0,A
55.0,42.0,A
30.0,64.0,A
32.0,43.0,A
28.0,77.0,A
21.0,76.0,A
99.0,42.0,A
32.0,36.0,A
56.0,38.0,A
35.0,46.0,A
30.0,64.0,A
77.0,64.0,A
49.0,46.0,A
30.0,64.0,A
158.0,17.0,A
61.0,43.0,A
49.0,73.0,A
45.0,37.0,A
72.0,81.0,A
45.0,20.0,A
52.0,66.0,A
16.0,71.0,A
16.0,45.0,A
79.0,20.0,A
154.0,42.0,A
167.0,65.0,A
131.0,41.0,A
168.0,20.0,A
183.0,9.0,A
173.0,41.0,A
168.0,54.0,A
168.0,20.0,A
62.0,57.0,A
152.0,20.0,A
15.0,60.0,A
44.0,82.0,A
112.0,43.0,A
168.0,20.0,A
154.0,32.0,A
119.0,20.0,A
2.0,26.0,A
157.0,44.0,A
184.0,12.0,A
168.0,20.0,A
8.0,73.0,A
23.0,37.0,A
3.0,24.0,A
3.0,53.0,A
165.0,81.0,A
148.0,5.0,A
166.0,75.0,A
106.0,7.0,A
168.0,64.0,A
150.0,3.0,A
136.0,44.0,A
99.0,42.0,A
167.0,51.0,A
99.0,42.0,A
79.0,20.0,A
53.0,53.0,A
27.0,37.0,A
158.0,26.0,A
168.0,20.0,A
168.0,20.0,A
135.0,22.0,A
196.0,52.0,A
2.0,27.0,A
13.0,20.0,A
62.0,3.0,A
30.0,64.0,A
59.0,43.0,A
63.0,42.0,A
99.0,42.0,A
2.0,33.0,A
53.0,22.0,A
59.0,16.0,A
47.0,55.0,A
176.0,39.0,A
165.0,49.0,A
168.0,64.0,A
160.0,18.0,A
168.0,20.0,A
151.0,73.0,A
168.0,64.0,A
174.0,36.0,A
135.0,26.0,A
181.0,61.0,A
168.0,20.0,A
134.0,43.0,A
168.0,20.0,A
153.0,21.0,A
135.0,16.0,A
168.0,20.0,A
137.0,69.0,A
99.0,42.0,A
66.0,59.0,A
65.0,42.0,A
30.0,20.0,A
19.0,47.0,A
166.0,82.0,A
138.0,33.0,A
196.0,47.0,A
30.0,20.0,A
21.0,29.0,A
99.0,42.0,A
164.0,42.0,A
181.0,34.0,A
178.0,43.0,A
120.0,82.0,A
189.0,25.0,A
130.0,15.0,A
119.0,64.0,A
147.0,51.0,A
91.0,57.0,A
64.0,68.0,A
173.0,60.0,A
168.0,64.0,A
181.0,63.0,A
184.0,31.0,A
167.0,43.0,A
24.0,48.0,A
66.0,33.0,A
45.0,64.0,A
167.0,33.0,A
168.0,20.0,A
180.0,13.0,A
139.0,70.0,A
133.0,47.0,A
176.0,42.0,A
168.0,20.0,A
170.0,43.0,A
186.0,34.0,A
177.0,62.0,A
177.0,42.0,A
185.0,37.0,A
99.0,42.0,A
168.0,45.0,A
129.0,83.0,A
150.0,47.0,A
166.0,28.0,A
30.0,64.0,A
48.0,64.0,A
168.0,20.0,A
17.0,60.0,A
193.0,62.0,A
15.0,39.0,A
99.0,42.0,A
13.0,75.0,A
178.0,34.0,A
88.0,83.0,A
1.0,51.0,A
153.0,43.0,A
29.0,62.0,A
30.0,64.0,A
196.0,61.0,A
195.0,36.0,A
198.0,54.0,A
173.0,21.0,A
30.0,20.0,A
177.0,53.0,A
20.0,16.0,A
93.0,9.0,A
145.0,26.0,A
37.0,83.0,A
99.0,42.0,A
65.0,72.0,A
43.0,82.0,A
192.0,76.0,A
173.0,46.0,A
160.0,47.0,A
46.0,12.0,A
15.0,7.0,A
44.0,35.0,A
0.0,59.0,A
58.0,4.0,A
22.0,37.0,A
30.0,20.0,A
132.0,10.0,A
22.0,45.0,A
96.0,70.0,A
24.0,16.0,A
175.0,82.0,A
187.0,77.0,A
130.0,40.0,A
144.0,83.0,A
22.0,43.0,A
99.0,42.0,A
67.0,72.0,A
179.0,79.0,A
30.0,20.0,A
23.0,46.0,A
19.0,56.0,A
1.0,55.0,A
19.0,46.0,A
99.0,42.0,A
197.0,35.0,A
181.0,81.0,A
46.0,32.0,A
30.0,20.0,A
41.0,7.0,A
30.0,20.0,A
28.0,33.0,A
21.0,40.0,A
20.0,30.0,A
36.0,55.0,A
57.0,56.0,A
25.0,67.0,A
30.0,64.0,A
30.0,20.0,A
67.0,44.0,A
30.0,64.0,A
60.0,56.0,A
193.0,69.0,A
161.0,67.0,A
43.0,18.0,A
99.0,42.0,A
2.0,38.0,A
41.0,45.0,A
34.0,19.0,A
15.0,10.0,A
51.0,66.0,A
41.0,7.0,A
197.0,33.0,A
77.0,83.0,A
153.0,39.0,A
168.0,20.0,A
168.0,64.0,A
36.0,38.0,A
32.0,7.0,A
30.0,20.0,A
5.0,67.0,A
64.0,3.0,A
155.0,34.0,A
197.0,50.0,A
6.0,15.0,A
141.0,24.0,A
168.0,20.0,A
96.0,82.0,A
171.0,73.0,A
192.0,44.0,A
161.0,83.0,A
133.0,33.0,A
57.0,9.0,A
163.0,2.0,A
1.0,22.0,A
64.0,76.0,A
168.0,64.0,A
167.0,27.0,A
184.0,47.0,A
69.0,19.0,A
146.0,15.0,A
99.0,42.0,A
23.0,27.0,A
82.0,83.0,A
30.0,20.0,A
53.0,49.0,A
30.0,64.0,A
27.0,5.0,A
171.0,29.0,A
168.0,20.0,A
168.0,22.0,A
46.0,67.0,A
49.0,51.0,A
28.0,68.0,A
22.0,68.0,A
99.0,42.0,A
57.0,11.0,A
162.0,78.0,A
123.0,21.0,A
13.0,20.0,A
23.0,70.0,A
157.0,41.0,A
158.0,57.0,A
179.0,50.0,A
25.0,45.0,A
64.0,8.0,A
30.0,20.0,A
34.0,44.0,A
30.0,20.0,A
30.0,20.0,A
193.0,71.0,A
133.0,20.0,A
168.0,40.0,A
172.0,47.0,A
174.0,33.0,A
145.0,44.0,A
177.0,30.0,A
175.0,39.0,A
133.0,25.0,A
168.0,20.0,A
177.0,37.0,A
21.0,62.0,A
67.0,20.0,A
69.0,30.0,A
174.0,36.0,A
65.0,74.0,A
30.0,20.0,A
12.0,15.0,A
35.0,50.0,A
168.0,64.0,A
172.0,49.0,A
98.0,54.0,A
30.0,20.0,A
13.0,52.0,A
79.0,20.0,A
20.0,4.0,A
56.0,43.0,A
23.0,41.0,A
14.0,30.0,A
2.0,16.0,A
32.0,27.0,A
35.0,43.0,A
30.0,20.0,A
54.0,83.0,A
182.0,40.0,A
168.0,64.0,A
185.0,78.0,A
153.0,70.0,A
167.0,49.0,A
168.0,64.0,A
162.0,65.0,A
30.0,20.0,A
30.0,20.0,A
22.0,8.0,A
21.0,20.0,A
161.0,20.0,A
69.0,58.0,A
168.0,64.0,A
173.0,83.0,A
134.0,27.0,A
24.0,43.0,A
54.0,49.0,A
30.0,64.0,A
145.0,2.0,A
145.0,7.0,A
168.0,64.0,A
169.0,25.0,A
178.0,81.0,A
50.0,44.0,A
153.0,1.0,A
41.0,24.0,A
54.0,37.0,A
184.0,34.0,A
99.0,42.0,A
186.0,65.0,A
155.0,83.0,A
180.0,51.0,A
156.0,79.0,A
30.0,20.0,A
60.0,41.0,A
31.0,34.0,A
2.0,30.0,A
105.0,37.0,A
133.0,18.0,A
48.0,41.0,A
45.0,4.0,A
40.0,20.0,A
99.0,42.0,A
170.0,33.0,A
168.0,20.0,A
164.0,7.0,A
18.0,38.0,A
118.0,40.0,A
177.0,49.0,A
168.0,64.0,A
178.0,42.0,A
179.0,35.0,A
145.0,82.0,A
65.0,9.0,A
13.0,8.0,A
44.0,57.0,A
30.0,64.0,A
57.0,65.0,A
30.0,64.0,A
75.0,54.0,A
165.0,49.0,A
173.0,84.0,A
20.0,13.0,A
174.0,67.0,A
30.0,20.0,A
30.0,64.0,A
37.0,55.0,A
18.0,43.0,A
14.0,51.0,A
18.0,39.0,A
13.0,47.0,A
18.0,40.0,A
19.0,46.0,A
33.0,29.0,A
30.0,20.0,A
146.0,58.0,A
188.0,23.0,A
145.0,53.0,A
196.0,65.0,A
94.0,42.0,A
168.0,5.0,A
197.0,18.0,A
16.0,49.0,A
68.0,6.0,A
162.0,16.0,A
180.0,48.0,A
168.0,64.0,A
2.0,22.0,A
2.0,28.0,A
27.0,3.0,A
13.0,49.0,A
162.0,3.0,A
185.0,6.0,A
126.0,59.0,A
21.0,40.0,A
132.0,61.0,A
50.0,45.0,A
34.0,4.0,A
150.0,33.0,A
168.0,20.0,A
169.0,43.0,A
159.0,55.0,A
160.0,26.0,A
99.0,42.0,A
98.0,1.0,A
98.0,2.0,A
98.0,3.0,A
168.0,64.0,A
177.0,65.0,A
148.0,81.0,A
150.0,80.0,A
80.0,68.0,A
194.0,20.0,A
143.0,22.0,A
147.0,15.0,A
146.0,20.0,A
168.0,20.0,A
180.0,49.0,A
168.0,64.0,A
167.0,12.0,A
179.0,52.0,A
168.0,64.0,A
174.0,43.0,A
168.0,20.0,A
136.0,64.0,A
197.0,27.0,A
99.0,42.0,A
112.0,5.0,A
19.0,41.0,A
146.0,5.0,A
128.0,4.0,A
47.0,23.0,A
18.0,43.0,A
30.0,64.0,A
19.0,23.0,A
30.0,20.0,A
38.0,22.0,A
63.0,40.0,A
149.0,66.0,A
165.0,58.0,A
168.0,20.0,A
181.0,28.0,A
181.0,48.0,A
1.0,46.0,A
144.0,81.0,A
190.0,48.0,A
171.0,30.0,A
168.0,20.0,A
24.0,46.0,A
171.0,21.0,A
168.0,20.0,A
61.0,64.0,A
102.0,5.0,A
25.0,79.0,A
14.0,51.0,A
186.0,53.0,A
32.0,35.0,A
17.0,49.0,A
35.0,77.0,A
185.0,22.0,A
39.0,40.0,A
169.0,36.0,A
168.0,20.0,A
138.0,6.0,A
3.0,38.0,A
159.0,13.0,A
195.0,26.0,A
161.0,59.0,A
38.0,43.0,A
177.0,53.0,A
193.0,72.0,A
173.0,49.0,A
19.0,80.0,A
67.0,21.0,A
193.0,29.0,A
72.0,38.0,A
195.0,58.0,A
186.0,69.0,A
183.0,32.0,A
168.0,20.0,A
190.0,25.0,A
179.0,30.0,A
174.0,49.0,A
174.0,34.0,A
133.0,49.0,A
134.0,68.0,A
165.0,82.0,A
153.0,65.0,A
179.0,37.0,A
182.0,43.0,A
